Name:  ALHA 77005
Type:  Stony Meteorites
Class:  Achondrite
Subclass:  Shergottite
Particle Size:  0-75 micrometers
Sample No.:  ALHA 77005
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite found in Antarctica in 1977.  Smithsonian sample (USNM sample No. ALHA 77005.38).
Collection Date: N/A
Description:  None.
Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional Information: jhu.becknic.meteorite.achondrite.shergottite.fine.a77005.ancillary.txt

 6.070	 6.429
 6.063	 6.372
 6.056	 6.305
 6.049	 6.234
 6.042	 6.216
 6.035	 6.216
 6.028	 6.204
 6.021	 6.190
 6.014	 6.189
 6.007	 6.210
 6.000	 6.226
 5.993	 6.247
 5.986	 6.280
 5.979	 6.316
 5.973	 6.350
 5.966	 6.379
 5.959	 6.414
 5.952	 6.449
 5.945	 6.472
 5.938	 6.479
 5.931	 6.506
 5.925	 6.550
 5.918	 6.583
 5.911	 6.603
 5.904	 6.613
 5.898	 6.628
 5.891	 6.659
 5.884	 6.677
 5.878	 6.697
 5.871	 6.733
 5.864	 6.758
 5.858	 6.784
 5.851	 6.806
 5.845	 6.824
 5.838	 6.840
 5.831	 6.859
 5.825	 6.867
 5.818	 6.885
 5.812	 6.920
 5.805	 6.941
 5.799	 6.954
 5.792	 6.961
 5.786	 6.966
 5.779	 6.963
 5.773	 6.943
 5.767	 6.927
 5.760	 6.920
 5.754	 6.901
 5.747	 6.867
 5.741	 6.839
 5.735	 6.804
 5.728	 6.765
 5.722	 6.726
 5.716	 6.675
 5.709	 6.634
 5.703	 6.602
 5.697	 6.561
 5.691	 6.515
 5.684	 6.482
 5.678	 6.453
 5.672	 6.433
 5.666	 6.422
 5.660	 6.414
 5.653	 6.421
 5.647	 6.429
 5.641	 6.440
 5.635	 6.475
 5.629	 6.517
 5.623	 6.564
 5.617	 6.606
 5.611	 6.654
 5.604	 6.705
 5.598	 6.767
 5.592	 6.824
 5.586	 6.871
 5.580	 6.912
 5.574	 6.951
 5.568	 6.992
 5.562	 7.037
 5.556	 7.067
 5.551	 7.084
 5.545	 7.104
 5.539	 7.123
 5.533	 7.132
 5.527	 7.140
 5.521	 7.154
 5.515	 7.162
 5.509	 7.167
 5.503	 7.179
 5.497	 7.187
 5.492	 7.186
 5.486	 7.191
 5.480	 7.202
 5.474	 7.211
 5.468	 7.226
 5.463	 7.250
 5.457	 7.273
 5.451	 7.291
 5.446	 7.309
 5.440	 7.336
 5.434	 7.358
 5.428	 7.384
 5.423	 7.407
 5.417	 7.426
 5.411	 7.453
 5.406	 7.479
 5.400	 7.500
 5.394	 7.516
 5.389	 7.530
 5.383	 7.544
 5.378	 7.559
 5.372	 7.575
 5.367	 7.588
 5.361	 7.598
 5.356	 7.599
 5.350	 7.609
 5.345	 7.621
 5.339	 7.620
 5.333	 7.619
 5.328	 7.626
 5.322	 7.627
 5.317	 7.628
 5.312	 7.627
 5.306	 7.621
 5.301	 7.620
 5.295	 7.619
 5.290	 7.609
 5.285	 7.613
 5.279	 7.619
 5.274	 7.620
 5.268	 7.624
 5.263	 7.631
 5.258	 7.638
 5.252	 7.644
 5.247	 7.652
 5.242	 7.667
 5.237	 7.684
 5.231	 7.699
 5.226	 7.715
 5.221	 7.723
 5.215	 7.729
 5.210	 7.739
 5.205	 7.751
 5.200	 7.765
 5.194	 7.782
 5.189	 7.795
 5.184	 7.803
 5.179	 7.824
 5.174	 7.841
 5.169	 7.843
 5.163	 7.862
 5.158	 7.891
 5.153	 7.910
 5.148	 7.927
 5.143	 7.950
 5.138	 7.976
 5.133	 7.991
 5.128	 8.011
 5.123	 8.036
 5.118	 8.056
 5.113	 8.073
 5.107	 8.095
 5.103	 8.114
 5.098	 8.126
 5.093	 8.143
 5.088	 8.161
 5.082	 8.177
 5.077	 8.193
 5.073	 8.210
 5.068	 8.228
 5.063	 8.242
 5.058	 8.258
 5.053	 8.273
 5.048	 8.283
 5.043	 8.296
 5.038	 8.312
 5.033	 8.326
 5.028	 8.338
 5.023	 8.350
 5.019	 8.362
 5.014	 8.380
 5.009	 8.393
 5.004	 8.404
 4.999	 8.418
 4.994	 8.435
 4.990	 8.454
 4.985	 8.481
 4.980	 8.503
 4.975	 8.530
 4.970	 8.564
 4.966	 8.596
 4.961	 8.636
 4.956	 8.680
 4.951	 8.722
 4.947	 8.759
 4.942	 8.799
 4.937	 8.835
 4.933	 8.879
 4.928	 8.929
 4.923	 8.973
 4.919	 9.011
 4.914	 9.051
 4.909	 9.090
 4.905	 9.122
 4.900	 9.167
 4.895	 9.209
 4.891	 9.239
 4.886	 9.265
 4.881	 9.298
 4.877	 9.330
 4.872	 9.354
 4.868	 9.380
 4.863	 9.408
 4.859	 9.430
 4.854	 9.448
 4.849	 9.478
 4.845	 9.502
 4.840	 9.528
 4.836	 9.556
 4.832	 9.577
 4.827	 9.598
 4.822	 9.619
 4.818	 9.634
 4.814	 9.657
 4.809	 9.680
 4.805	 9.700
 4.800	 9.726
 4.796	 9.755
 4.791	 9.777
 4.787	 9.796
 4.782	 9.813
 4.778	 9.834
 4.774	 9.852
 4.769	 9.868
 4.765	 9.893
 4.761	 9.915
 4.756	 9.937
 4.752	 9.959
 4.747	 9.972
 4.743	 9.992
 4.739	10.013
 4.734	10.034
 4.730	10.053
 4.726	10.061
 4.721	10.080
 4.717	10.104
 4.713	10.117
 4.709	10.136
 4.704	10.165
 4.700	10.176
 4.696	10.185
 4.691	10.212
 4.687	10.235
 4.683	10.254
 4.679	10.277
 4.675	10.302
 4.670	10.323
 4.666	10.337
 4.662	10.357
 4.658	10.380
 4.654	10.402
 4.649	10.422
 4.645	10.450
 4.641	10.468
 4.637	10.486
 4.633	10.518
 4.629	10.535
 4.625	10.550
 4.620	10.574
 4.616	10.592
 4.612	10.605
 4.608	10.624
 4.604	10.647
 4.600	10.659
 4.596	10.676
 4.592	10.698
 4.588	10.714
 4.584	10.734
 4.580	10.752
 4.576	10.768
 4.572	10.782
 4.567	10.788
 4.564	10.808
 4.559	10.828
 4.556	10.842
 4.551	10.855
 4.548	10.863
 4.543	10.870
 4.540	10.885
 4.536	10.898
 4.532	10.906
 4.528	10.921
 4.524	10.931
 4.520	10.932
 4.516	10.947
 4.512	10.960
 4.508	10.968
 4.504	10.978
 4.500	10.988
 4.496	10.997
 4.492	11.005
 4.488	11.012
 4.485	11.019
 4.481	11.027
 4.477	11.032
 4.473	11.037
 4.469	11.046
 4.465	11.060
 4.461	11.063
 4.458	11.066
 4.454	11.073
 4.450	11.083
 4.446	11.092
 4.442	11.099
 4.439	11.113
 4.435	11.123
 4.431	11.127
 4.427	11.129
 4.423	11.132
 4.420	11.132
 4.416	11.141
 4.412	11.152
 4.408	11.161
 4.404	11.165
 4.401	11.168
 4.397	11.174
 4.393	11.175
 4.390	11.186
 4.386	11.197
 4.382	11.194
 4.378	11.198
 4.375	11.211
 4.371	11.213
 4.367	11.209
 4.364	11.218
 4.360	11.226
 4.356	11.229
 4.353	11.233
 4.349	11.244
 4.346	11.246
 4.342	11.246
 4.338	11.254
 4.335	11.250
 4.331	11.250
 4.327	11.264
 4.324	11.267
 4.320	11.265
 4.316	11.266
 4.313	11.267
 4.309	11.274
 4.306	11.287
 4.302	11.298
 4.299	11.299
 4.295	11.302
 4.292	11.313
 4.288	11.315
 4.284	11.312
 4.281	11.320
 4.277	11.327
 4.274	11.334
 4.270	11.337
 4.267	11.337
 4.263	11.350
 4.260	11.360
 4.256	11.359
 4.253	11.368
 4.249	11.371
 4.246	11.368
 4.242	11.374
 4.239	11.382
 4.235	11.392
 4.232	11.392
 4.229	11.396
 4.225	11.401
 4.222	11.412
 4.218	11.415
 4.215	11.415
 4.211	11.427
 4.208	11.442
 4.205	11.440
 4.201	11.436
 4.198	11.445
 4.194	11.455
 4.191	11.461
 4.188	11.464
 4.184	11.471
 4.181	11.472
 4.177	11.476
 4.174	11.487
 4.171	11.484
 4.167	11.481
 4.164	11.490
 4.161	11.500
 4.157	11.495
 4.154	11.500
