Name:  Reddish brown fine sandy loam
Type:  Soils
Class:  Alfisol
Subclass:  Paleustalf
Particle Size:  see additional information
Sample No.:  87P2376
Owner:  JHU
Wavelength range:  All
Origin:  Howard Co. Tx. via USDA Soil Conservation service.
Collection Date: N/A
Description:  The parent  material is eolian from level or undulating plains.  Reddish brown fine sandy loam (fine-loamy, mixed thermic aridic).
Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P2376a.txt

 4.111	22.142
 4.108	22.276
 4.105	22.418
 4.101	22.568
 4.098	22.718
 4.095	22.864
 4.092	23.002
 4.088	23.127
 4.085	23.238
 4.082	23.341
 4.079	23.437
 4.076	23.526
 4.072	23.600
 4.069	23.661
 4.066	23.715
 4.063	23.763
 4.060	23.804
 4.056	23.837
 4.053	23.860
 4.050	23.869
 4.047	23.863
 4.044	23.851
 4.041	23.841
 4.037	23.834
 4.034	23.829
 4.031	23.829
 4.028	23.831
 4.025	23.835
 4.022	23.839
 4.019	23.841
 4.016	23.844
 4.013	23.845
 4.009	23.846
 4.006	23.850
 4.003	23.862
 4.000	23.887
 3.997	23.920
 3.994	23.961
 3.991	24.009
 3.988	24.061
 3.985	24.116
 3.982	24.171
 3.979	24.232
 3.976	24.300
 3.973	24.372
 3.970	24.449
 3.966	24.530
 3.963	24.614
 3.960	24.696
 3.957	24.775
 3.954	24.852
 3.951	24.923
 3.948	24.987
 3.945	25.047
 3.942	25.104
 3.939	25.158
 3.936	25.209
 3.933	25.254
 3.930	25.292
 3.927	25.317
 3.924	25.331
 3.921	25.337
 3.918	25.333
 3.916	25.316
 3.913	25.287
 3.910	25.245
 3.907	25.194
 3.904	25.138
 3.901	25.081
 3.898	25.024
 3.895	24.963
 3.892	24.896
 3.889	24.820
 3.886	24.736
 3.883	24.650
 3.880	24.565
 3.877	24.481
 3.875	24.398
 3.872	24.319
 3.869	24.243
 3.866	24.172
 3.863	24.110
 3.860	24.061
 3.857	24.024
 3.854	23.996
 3.852	23.973
 3.849	23.950
 3.846	23.925
 3.843	23.898
 3.840	23.868
 3.837	23.838
 3.834	23.814
 3.832	23.802
 3.829	23.800
 3.826	23.809
 3.823	23.822
 3.820	23.833
 3.817	23.833
 3.815	23.819
 3.812	23.794
 3.809	23.759
 3.806	23.716
 3.804	23.669
 3.801	23.619
 3.798	23.566
 3.795	23.511
 3.792	23.453
 3.790	23.389
 3.787	23.317
 3.784	23.237
 3.781	23.150
 3.779	23.058
 3.776	22.961
 3.773	22.858
 3.770	22.751
 3.768	22.640
 3.765	22.530
 3.762	22.427
 3.759	22.333
 3.757	22.247
 3.754	22.166
 3.751	22.090
 3.748	22.020
 3.746	21.951
 3.743	21.884
 3.740	21.818
 3.738	21.755
 3.735	21.698
 3.732	21.649
 3.730	21.611
 3.727	21.586
 3.724	21.570
 3.722	21.555
 3.719	21.541
 3.716	21.532
 3.714	21.527
 3.711	21.527
 3.708	21.532
 3.706	21.542
 3.703	21.553
 3.700	21.560
 3.698	21.562
 3.695	21.560
 3.692	21.555
 3.690	21.549
 3.687	21.545
 3.684	21.541
 3.682	21.534
 3.679	21.524
 3.677	21.509
 3.674	21.487
 3.671	21.463
 3.669	21.441
 3.666	21.418
 3.664	21.390
 3.661	21.357
 3.659	21.317
 3.656	21.265
 3.653	21.199
 3.651	21.126
 3.648	21.050
 3.646	20.973
 3.643	20.900
 3.641	20.836
 3.638	20.777
 3.635	20.713
 3.633	20.640
 3.630	20.557
 3.628	20.466
 3.625	20.372
 3.623	20.282
 3.620	20.198
 3.618	20.123
 3.615	20.051
 3.613	19.978
 3.610	19.898
 3.608	19.816
 3.605	19.730
 3.603	19.641
 3.600	19.552
 3.598	19.469
 3.595	19.390
 3.593	19.311
 3.590	19.231
 3.588	19.154
 3.585	19.074
 3.583	18.989
 3.580	18.900
 3.578	18.809
 3.575	18.716
 3.573	18.620
 3.570	18.525
 3.568	18.440
 3.565	18.362
 3.563	18.289
 3.561	18.216
 3.558	18.136
 3.556	18.048
 3.553	17.948
 3.551	17.841
 3.548	17.734
 3.546	17.631
 3.543	17.532
 3.541	17.437
 3.539	17.342
 3.536	17.245
 3.534	17.145
 3.531	17.040
 3.529	16.924
 3.527	16.799
 3.524	16.664
 3.522	16.518
 3.519	16.363
 3.517	16.199
 3.515	16.028
 3.512	15.850
 3.510	15.666
 3.507	15.491
 3.505	15.338
 3.503	15.217
 3.500	15.136
 3.498	15.091
 3.496	15.072
 3.493	15.058
 3.491	15.031
 3.489	14.982
 3.486	14.915
 3.484	14.835
 3.482	14.750
 3.479	14.665
 3.477	14.586
 3.475	14.511
 3.472	14.432
 3.470	14.349
 3.468	14.270
 3.465	14.194
 3.463	14.117
 3.461	14.032
 3.458	13.943
 3.456	13.845
 3.454	13.736
 3.451	13.621
 3.449	13.507
 3.447	13.394
 3.445	13.281
 3.442	13.169
 3.440	13.058
 3.438	12.941
 3.436	12.809
 3.433	12.661
 3.431	12.494
 3.429	12.313
 3.426	12.131
 3.424	11.964
 3.422	11.822
 3.420	11.705
 3.417	11.611
 3.415	11.532
 3.413	11.461
 3.411	11.402
 3.408	11.360
 3.406	11.334
 3.404	11.322
 3.402	11.316
 3.399	11.306
 3.397	11.280
 3.395	11.237
 3.393	11.181
 3.391	11.114
 3.388	11.041
 3.386	10.963
 3.384	10.885
 3.382	10.805
 3.380	10.729
 3.377	10.667
 3.375	10.619
 3.373	10.581
 3.371	10.551
 3.369	10.522
 3.366	10.491
 3.364	10.450
 3.362	10.402
 3.360	10.349
 3.358	10.292
 3.355	10.232
 3.353	10.171
 3.351	10.112
 3.349	10.053
 3.347	 9.994
 3.345	 9.932
 3.342	 9.866
 3.340	 9.797
 3.338	 9.726
 3.336	 9.656
 3.334	 9.588
 3.332	 9.518
 3.330	 9.447
 3.327	 9.373
 3.325	 9.295
 3.323	 9.214
 3.321	 9.133
 3.319	 9.053
 3.317	 8.975
 3.315	 8.895
 3.313	 8.813
 3.310	 8.733
 3.308	 8.655
 3.306	 8.578
 3.304	 8.504
 3.302	 8.436
 3.300	 8.370
 3.298	 8.301
 3.296	 8.227
 3.294	 8.149
 3.292	 8.070
 3.289	 7.988
 3.287	 7.907
 3.285	 7.832
 3.283	 7.763
 3.281	 7.697
 3.279	 7.634
 3.277	 7.575
 3.275	 7.519
 3.273	 7.458
 3.271	 7.390
 3.269	 7.312
 3.267	 7.227
 3.265	 7.138
 3.263	 7.052
 3.260	 6.978
 3.258	 6.919
 3.256	 6.870
 3.254	 6.821
 3.252	 6.766
 3.250	 6.706
 3.248	 6.644
 3.246	 6.581
 3.244	 6.520
 3.242	 6.460
 3.240	 6.399
 3.238	 6.331
 3.236	 6.258
 3.234	 6.186
 3.232	 6.126
 3.230	 6.078
 3.228	 6.038
 3.226	 5.997
 3.224	 5.950
 3.222	 5.897
 3.220	 5.834
 3.218	 5.770
 3.216	 5.712
 3.214	 5.658
 3.212	 5.603
 3.210	 5.544
 3.208	 5.478
 3.206	 5.409
 3.204	 5.342
 3.202	 5.285
 3.200	 5.238
 3.198	 5.196
 3.196	 5.157
 3.194	 5.118
 3.192	 5.074
 3.190	 5.025
 3.188	 4.976
 3.186	 4.929
 3.184	 4.882
 3.182	 4.832
 3.180	 4.782
 3.179	 4.733
 3.177	 4.684
 3.175	 4.638
 3.173	 4.601
 3.171	 4.568
 3.169	 4.532
 3.167	 4.491
 3.165	 4.444
 3.163	 4.391
 3.161	 4.339
 3.159	 4.292
 3.157	 4.250
 3.155	 4.209
 3.153	 4.165
 3.151	 4.117
 3.150	 4.065
 3.148	 4.015
 3.146	 3.973
 3.144	 3.940
 3.142	 3.909
 3.140	 3.878
 3.138	 3.845
 3.136	 3.810
 3.134	 3.773
 3.132	 3.736
 3.131	 3.701
 3.129	 3.668
 3.127	 3.634
 3.125	 3.603
 3.123	 3.572
 3.121	 3.542
 3.119	 3.511
 3.117	 3.481
 3.115	 3.454
 3.114	 3.433
 3.112	 3.421
 3.110	 3.418
 3.108	 3.416
 3.106	 3.407
 3.104	 3.386
 3.102	 3.359
 3.101	 3.326
 3.099	 3.295
 3.097	 3.269
 3.095	 3.249
 3.093	 3.235
 3.091	 3.221
 3.090	 3.203
 3.088	 3.184
 3.086	 3.160
 3.084	 3.133
 3.082	 3.104
 3.080	 3.083
 3.079	 3.071
 3.077	 3.066
 3.075	 3.063
 3.073	 3.059
 3.071	 3.050
 3.069	 3.036
 3.067	 3.019
 3.066	 3.008
 3.064	 3.001
 3.062	 2.997
 3.060	 2.993
 3.058	 2.986
 3.057	 2.974
 3.055	 2.958
 3.053	 2.941
 3.051	 2.929
 3.050	 2.921
 3.048	 2.917
 3.046	 2.914
 3.044	 2.913
 3.042	 2.909
 3.041	 2.902
 3.039	 2.893
 3.037	 2.883
 3.035	 2.869
 3.033	 2.852
 3.032	 2.838
 3.030	 2.833
 3.028	 2.829
 3.026	 2.825
 3.025	 2.822
 3.023	 2.812
 3.021	 2.793
