Name:  ALHA 77155
Type:  Stony Meteorites
Class:  Ordinary Chondrite
Subclass:  L6
Particle Size:  0-75 micrometers
Sample No.:  ALHA 77155
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite found in Antarctica in 1977.  Smithsonian sample No. USNM  ALHA 77155.12.
Collection Date: N/A
Description:  None.
Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional Information: jhu.becknic.meteorite.chondrite.l6.fine.a77155.ancillary.txt

 4.909	 6.299
 4.905	 6.321
 4.900	 6.344
 4.895	 6.353
 4.891	 6.363
 4.886	 6.379
 4.881	 6.399
 4.877	 6.409
 4.872	 6.422
 4.868	 6.432
 4.863	 6.441
 4.859	 6.457
 4.854	 6.473
 4.849	 6.486
 4.845	 6.492
 4.840	 6.503
 4.836	 6.524
 4.832	 6.543
 4.827	 6.555
 4.822	 6.571
 4.818	 6.580
 4.814	 6.590
 4.809	 6.612
 4.805	 6.635
 4.800	 6.651
 4.796	 6.673
 4.791	 6.693
 4.787	 6.712
 4.782	 6.731
 4.778	 6.742
 4.774	 6.751
 4.769	 6.765
 4.765	 6.783
 4.761	 6.801
 4.756	 6.814
 4.752	 6.827
 4.747	 6.840
 4.743	 6.847
 4.739	 6.850
 4.734	 6.867
 4.730	 6.882
 4.726	 6.892
 4.721	 6.900
 4.717	 6.906
 4.713	 6.915
 4.709	 6.936
 4.704	 6.949
 4.700	 6.955
 4.696	 6.968
 4.691	 6.978
 4.687	 6.986
 4.683	 6.999
 4.679	 7.013
 4.675	 7.028
 4.670	 7.041
 4.666	 7.054
 4.662	 7.075
 4.658	 7.087
 4.654	 7.093
 4.649	 7.112
 4.645	 7.132
 4.641	 7.142
 4.637	 7.154
 4.633	 7.169
 4.629	 7.185
 4.625	 7.202
 4.620	 7.213
 4.616	 7.225
 4.612	 7.239
 4.608	 7.250
 4.604	 7.260
 4.600	 7.269
 4.596	 7.280
 4.592	 7.295
 4.588	 7.308
 4.584	 7.322
 4.580	 7.328
 4.576	 7.337
 4.572	 7.345
 4.567	 7.355
 4.564	 7.362
 4.559	 7.367
 4.556	 7.375
 4.551	 7.385
 4.548	 7.392
 4.543	 7.400
 4.540	 7.410
 4.536	 7.414
 4.532	 7.417
 4.528	 7.428
 4.524	 7.436
 4.520	 7.442
 4.516	 7.450
 4.512	 7.450
 4.508	 7.450
 4.504	 7.462
 4.500	 7.463
 4.496	 7.461
 4.492	 7.469
 4.488	 7.471
 4.485	 7.475
 4.481	 7.475
 4.477	 7.478
 4.473	 7.483
 4.469	 7.494
 4.465	 7.501
 4.461	 7.500
 4.458	 7.499
 4.454	 7.504
 4.450	 7.510
 4.446	 7.512
 4.442	 7.514
 4.439	 7.515
 4.435	 7.517
 4.431	 7.516
 4.427	 7.524
 4.423	 7.534
 4.420	 7.529
 4.416	 7.532
 4.412	 7.544
 4.408	 7.544
 4.404	 7.545
 4.401	 7.545
 4.397	 7.547
 4.393	 7.559
 4.390	 7.557
 4.386	 7.558
 4.382	 7.562
 4.378	 7.565
 4.375	 7.569
 4.371	 7.566
 4.367	 7.564
 4.364	 7.573
 4.360	 7.586
 4.356	 7.586
 4.353	 7.582
 4.349	 7.583
 4.346	 7.588
 4.342	 7.598
 4.338	 7.597
 4.335	 7.591
 4.331	 7.595
 4.327	 7.595
 4.324	 7.591
 4.320	 7.596
 4.316	 7.602
 4.313	 7.606
 4.309	 7.610
 4.306	 7.612
 4.302	 7.617
 4.299	 7.615
 4.295	 7.616
 4.292	 7.617
 4.288	 7.616
 4.284	 7.620
 4.281	 7.625
 4.277	 7.633
 4.274	 7.632
 4.270	 7.635
 4.267	 7.639
 4.263	 7.644
 4.260	 7.648
 4.256	 7.652
 4.253	 7.655
 4.249	 7.660
 4.246	 7.664
 4.242	 7.665
 4.239	 7.667
 4.235	 7.662
 4.232	 7.668
 4.229	 7.675
 4.225	 7.678
