Name: Purple Quartzite 
Type:  Rocks
Class:  Metamorphic 
Subclass: Quartzite
Particle Size:  500-1500 Micrometer
Sample No.:   qrtzit4.doc
Owner:  JHU
Wavelength Range:  All
Origin:  Sample No. 378, The Hunt and Salisbury Collection at the U.S. Geological Survey, Denver, Co.
Collection Date: N/A
Description: A schistose sample consisting of medium to coarse-grained recrystallized quartz with some muscovite that often contains ferruginous material.  In addition there are scattered opaques present in this sample.  The modal analyses for this rock are 88.2% quartz, 7.2% muscovite, 3.5% opaques and 1.1% other.  
Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 14.9831	
Last X Value:  0.4
Number of X Values: 2868
Additional Information: jhu.becknic.rock.metamorphic.quartzite.coarse.qrtzit4.ancillary.txt

 4.629	11.823
 4.625	12.207
 4.620	12.543
 4.616	12.841
 4.612	13.097
 4.608	13.330
 4.604	13.530
 4.600	13.708
 4.596	13.852
 4.592	13.959
 4.588	14.056
 4.584	14.127
 4.580	14.165
 4.576	14.156
 4.572	14.101
 4.567	14.033
 4.564	13.902
 4.559	13.702
 4.556	13.433
 4.551	13.107
 4.548	12.706
 4.543	12.255
 4.540	11.781
 4.536	11.283
 4.532	10.768
 4.528	10.235
 4.524	 9.703
 4.520	 9.147
 4.516	 8.585
 4.512	 8.044
 4.508	 7.533
 4.504	 7.095
 4.500	 6.757
 4.496	 6.502
 4.492	 6.324
 4.488	 6.193
 4.485	 6.097
 4.481	 5.998
 4.477	 5.902
 4.473	 5.811
 4.469	 5.758
 4.465	 5.762
 4.461	 5.854
 4.458	 6.011
 4.454	 6.196
 4.450	 6.389
 4.446	 6.531
 4.442	 6.636
 4.439	 6.758
 4.435	 6.880
 4.431	 7.001
 4.427	 7.158
 4.423	 7.328
 4.420	 7.511
 4.416	 7.709
 4.412	 7.921
 4.408	 8.120
 4.404	 8.340
 4.401	 8.612
 4.397	 8.890
 4.393	 9.200
 4.390	 9.544
 4.386	 9.895
 4.382	10.254
 4.378	10.621
 4.375	11.012
 4.371	11.428
 4.367	11.825
 4.364	12.190
 4.360	12.560
 4.356	12.910
 4.353	13.224
 4.349	13.501
 4.346	13.731
 4.342	13.954
 4.338	14.125
 4.335	14.240
 4.331	14.333
 4.327	14.370
 4.324	14.352
 4.320	14.284
 4.316	14.186
 4.313	14.058
 4.309	13.901
 4.306	13.775
 4.302	13.639
 4.299	13.508
 4.295	13.407
 4.292	13.351
 4.288	13.350
 4.284	13.387
 4.281	13.443
 4.277	13.551
 4.274	13.697
 4.270	13.869
 4.267	14.099
 4.263	14.360
 4.260	14.587
 4.256	14.780
 4.253	14.958
 4.249	15.085
 4.246	15.137
 4.242	15.167
 4.239	15.197
 4.235	15.221
 4.232	15.273
 4.229	15.380
 4.225	15.513
 4.222	15.644
 4.218	15.741
 4.215	15.824
 4.211	15.869
 4.208	15.882
 4.205	15.902
 4.201	15.926
 4.198	15.951
 4.194	16.035
 4.191	16.171
 4.188	16.331
 4.184	16.531
 4.181	16.749
 4.177	16.953
 4.174	17.131
 4.171	17.291
 4.167	17.472
 4.164	17.651
 4.161	17.805
 4.157	17.965
 4.154	18.121
 4.151	18.259
